sample_id,sampling_age,aboveground_veg_biomass,voxel_vol_02,voxel_vol_01,voxel_vol_005,voxel_vol_002,voxel_vol_001,convh_vol,predicted_aboveground_veg_biomass,error_aboveground_veg_biomass,abs_error_aboveground_veg_biomass,perc_error_aboveground_veg_biomass,relative_residuals_aboveground_veg_biomass,parameter,species,leaf_biomass,predicted_leaf_biomass,error_leaf_biomass,abs_error_leaf_biomass,perc_error_leaf_biomass,relative_residuals_leaf_biomass,leaf_no,predicted_leaf_no,error_leaf_no,abs_error_leaf_no,perc_error_leaf_no,relative_residuals_leaf_no,shoot_biomass,predicted_shoot_biomass,error_shoot_biomass,abs_error_shoot_biomass,perc_error_shoot_biomass,relative_residuals_shoot_biomass,shoot_no,predicted_shoot_no,error_shoot_no,abs_error_shoot_no,perc_error_shoot_no,relative_residuals_shoot_no
gp_22_07_07_2023,2,,0.01352,0.005616,0.002297,0.000602688,0.000131728,0.0390881281425677,,,,,,shoot_biomass,watermelon,,,,,,,,,,,,,4.92,12.549303248560001,-7.629303248560001,7.629303248560001,155.067139198374,-155.067139198374,,,,,,
gp_14_08_02_2023,9,,0.243432,0.091349,0.026932,0.002689344,0.000352561,2.1348638390091224,,,,,,shoot_biomass,watermelon,,,,,,,,,,,,,231.08,225.954289083096,5.125710916904012,5.125710916904012,2.218154282890779,2.218154282890779,,,,,,
gp_10_09_14_2023,15,,0.209352,0.081154,0.016929,0.001277632,0.000168238,1.310880798715461,,,,,,shoot_biomass,watermelon,,,,,,,,,,,,,213.41,194.321134148856,19.088865851143993,19.088865851143993,8.944691369262918,8.944691369262918,,,,,,
gp_24_07_07_2023,2,,0.01352,0.005616,0.002297,0.000602688,0.000131728,0.0390881281425677,,,,,,shoot_no,watermelon,,,,,,,,,,,,,,,,,,,4.0,5.491092084353,-1.4910920843530002,1.4910920843530002,37.277302108825005,-37.277302108825005
gp_15_06_24_2023,4,,0.006944,0.0028,0.00123975,0.000346176,8.254e-05,0.0228593315602132,,,,,,shoot_no,watermelon,,,,,,,,,,,,,,,,,,,3.0,2.96368367939775,0.036316320602249874,0.036316320602249874,1.210544020074996,1.2105440200749957
gp_13_08_02_2023,9,,0.25244,0.117191,0.042914125,0.005014024,0.000670452,1.1254362542637792,,,,,,shoot_no,watermelon,,,,,,,,,,,,,,,,,,,61.0,102.58833787306712,-41.58833787306712,41.58833787306712,68.17760307060183,-68.17760307060183
gp_11_09_14_2023,15,,0.379336,0.129834,0.022094375,0.00159784,0.000208477,2.683866213860796,,,,,,shoot_no,watermelon,,,,,,,,,,,,,,,,,,,54.0,52.817695982249376,1.1823040177506243,1.1823040177506243,2.1894518847233786,2.1894518847233786
ta_Sugar_Baby_Day_Zero,0,,0.003008,0.001381,0.0006145,0.000191568,4.6637e-05,0.0066688144484401,,,,,,shoot_no,watermelon,,,,,,,,,,,,,,,,,,,4.0,1.4689926364105002,2.5310073635894996,2.5310073635894996,63.27518408973749,63.27518408973749
gp_22_07_07_2023,2,,0.01352,0.005616,0.002297,0.000602688,0.000131728,0.0390881281425677,,,,,,shoot_no,watermelon,,,,,,,,,,,,,,,,,,,4.0,5.491092084353,-1.4910920843530002,1.4910920843530002,37.277302108825005,-37.277302108825005
gp_14_08_02_2023,9,,0.243432,0.091349,0.026932,0.002689344,0.000352561,2.1348638390091224,,,,,,shoot_no,watermelon,,,,,,,,,,,,,,,,,,,41.0,64.382277760468,-23.382277760468,23.382277760468,57.02994575723902,-57.02994575723903
gp_10_09_14_2023,15,,0.209352,0.081154,0.016929,0.001277632,0.000168238,1.310880798715461,,,,,,shoot_no,watermelon,,,,,,,,,,,,,,,,,,,28.0,40.469611622121,-12.469611622121,12.469611622121,44.534327221860714,-44.53432722186072
